"domain","score","top_issue","product_count","ai_mentions","audit_url","tier_target","subject_line","message_body","target_score","pitch_angle"
"eddiebauer.com","65","Title has no factual marker (material, spec, ingredient). AI matches better with at least one.","250","5144","https://aicatalogscore.com/audit/eddiebauer.com","Growth","Eddiebauer's AI catalog score: 65/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Eddiebauer just scored 65/100 in our public audit. The top issue is: Title has no factual marker (material, spec, ingredient). AI matches better with at least one.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/eddiebauer.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","75","two big jumps available"
"wearethought.com","65","No product_type field. AI agents use it for taxonomy mapping.","250","2448","https://aicatalogscore.com/audit/wearethought.com","Growth","Wearethought's AI catalog score: 65/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Wearethought just scored 65/100 in our public audit. The top issue is: No product_type field. AI agents use it for taxonomy mapping.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/wearethought.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","75","two big jumps available"
"thursdayboots.com","65","Product type ""boots"" is missing from the title. AI agents use it for category matching.","250","1238","https://aicatalogscore.com/audit/thursdayboots.com","Growth","Thursday Boots' AI catalog score: 65/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Thursday Boots just scored 65/100 in our public audit. The top issue is: Product type ""boots"" is missing from the title. AI agents use it for category matching.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/thursdayboots.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","75","two big jumps available"
"simmsfishing.com","65","Title has no factual marker (material, spec, ingredient). AI matches better with at least one.","250","1116","https://aicatalogscore.com/audit/simmsfishing.com","Growth","Simmsfishing's AI catalog score: 65/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Simmsfishing just scored 65/100 in our public audit. The top issue is: Title has no factual marker (material, spec, ingredient). AI matches better with at least one.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/simmsfishing.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","75","two big jumps available"
"smartwool.com","63","No bullet list in the description. AI agents parse structured lists much more reliably than prose.","250","4304","https://aicatalogscore.com/audit/smartwool.com","Growth","Smartwool's AI catalog score: 63/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Smartwool just scored 63/100 in our public audit. The top issue is: No bullet list in the description. AI agents parse structured lists much more reliably than prose.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/smartwool.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","73","two big jumps available"
"beyondyoga.com","63","Title has no factual marker (material, spec, ingredient). AI matches better with at least one.","250","1818","https://aicatalogscore.com/audit/beyondyoga.com","Growth","Beyondyoga's AI catalog score: 63/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Beyondyoga just scored 63/100 in our public audit. The top issue is: Title has no factual marker (material, spec, ingredient). AI matches better with at least one.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/beyondyoga.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","73","two big jumps available"
"keenfootwear.com","63","Product type ""Womens > Footwear > Sandal"" is missing from the title. AI agents use it for category matching.","250","1484","https://aicatalogscore.com/audit/keenfootwear.com","Growth","Keenfootwear's AI catalog score: 63/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Keenfootwear just scored 63/100 in our public audit. The top issue is: Product type ""Womens > Footwear > Sandal"" is missing from the title. AI agents use it for category matching.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/keenfootwear.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","73","two big jumps available"
"kleankanteen.com","63","No bullet list in the description. AI agents parse structured lists much more reliably than prose.","132","1238","https://aicatalogscore.com/audit/kleankanteen.com","Growth","Kleankanteen's AI catalog score: 63/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Kleankanteen just scored 63/100 in our public audit. The top issue is: No bullet list in the description. AI agents parse structured lists much more reliably than prose.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/kleankanteen.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 132 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","73","two big jumps available"
"darntough.com","63","No bullet list in the description. AI agents parse structured lists much more reliably than prose.","250","1136","https://aicatalogscore.com/audit/darntough.com","Growth","Darntough's AI catalog score: 63/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Darntough just scored 63/100 in our public audit. The top issue is: No bullet list in the description. AI agents parse structured lists much more reliably than prose.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/darntough.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","73","two big jumps available"
"eberjey.com","63","No bullet list in the description. AI agents parse structured lists much more reliably than prose.","250","952","https://aicatalogscore.com/audit/eberjey.com","Growth","Eberjey's AI catalog score: 63/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Eberjey just scored 63/100 in our public audit. The top issue is: No bullet list in the description. AI agents parse structured lists much more reliably than prose.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/eberjey.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","73","two big jumps available"
"allbirds.com","62","Product type ""Socks"" is missing from the title. AI agents use it for category matching.","250","5820","https://aicatalogscore.com/audit/allbirds.com","Growth","Allbirds' AI catalog score: 62/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Allbirds just scored 62/100 in our public audit. The top issue is: Product type ""Socks"" is missing from the title. AI agents use it for category matching.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/allbirds.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","72","two big jumps available"
"aloyoga.com","62","Product type ""Women:Bottoms:Pants"" is missing from the title. AI agents use it for category matching.","250","4215","https://aicatalogscore.com/audit/aloyoga.com","Growth","Alo Yoga's AI catalog score: 62/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Alo Yoga just scored 62/100 in our public audit. The top issue is: Product type ""Women:Bottoms:Pants"" is missing from the title. AI agents use it for category matching.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/aloyoga.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","72","two big jumps available"
"champion.com","62","No bullet list in the description. AI agents parse structured lists much more reliably than prose.","250","1482","https://aicatalogscore.com/audit/champion.com","Growth","Champion's AI catalog score: 62/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Champion just scored 62/100 in our public audit. The top issue is: No bullet list in the description. AI agents parse structured lists much more reliably than prose.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/champion.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","72","two big jumps available"
"honest.com","62","Title has no factual marker (material, spec, ingredient). AI matches better with at least one.","199","983","https://aicatalogscore.com/audit/honest.com","Growth","The Honest Company's AI catalog score: 62/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. The Honest Company just scored 62/100 in our public audit. The top issue is: Title has no factual marker (material, spec, ingredient). AI matches better with at least one.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/honest.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 199 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","72","two big jumps available"
"reebok.com","60","Title has no factual marker (material, spec, ingredient). AI matches better with at least one.","250","5692","https://aicatalogscore.com/audit/reebok.com","Growth","Reebok's AI catalog score: 60/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Reebok just scored 60/100 in our public audit. The top issue is: Title has no factual marker (material, spec, ingredient). AI matches better with at least one.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/reebok.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","70","two big jumps available"
"girlfriend.com","60","Description only has 12 words. Too short for AI matching, aim for 150 or more.","169","3640","https://aicatalogscore.com/audit/girlfriend.com","Growth","Girlfriend's AI catalog score: 60/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Girlfriend just scored 60/100 in our public audit. The top issue is: Description only has 12 words. Too short for AI matching, aim for 150 or more.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/girlfriend.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 169 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","70","two big jumps available"
"gaiam.com","60","Product type ""Active Sitting/Balance Balls"" is missing from the title. AI agents use it for category matching.","151","2808","https://aicatalogscore.com/audit/gaiam.com","Growth","Gaiam's AI catalog score: 60/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Gaiam just scored 60/100 in our public audit. The top issue is: Product type ""Active Sitting/Balance Balls"" is missing from the title. AI agents use it for category matching.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/gaiam.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 151 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","70","two big jumps available"
"outerknown.com","60","Title has no factual marker (material, spec, ingredient). AI matches better with at least one.","250","1933","https://aicatalogscore.com/audit/outerknown.com","Growth","Outerknown's AI catalog score: 60/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Outerknown just scored 60/100 in our public audit. The top issue is: Title has no factual marker (material, spec, ingredient). AI matches better with at least one.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/outerknown.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","70","two big jumps available"
"liforme.com","60","No bullet list in the description. AI agents parse structured lists much more reliably than prose.","182","1740","https://aicatalogscore.com/audit/liforme.com","Growth","Liforme's AI catalog score: 60/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Liforme just scored 60/100 in our public audit. The top issue is: No bullet list in the description. AI agents parse structured lists much more reliably than prose.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/liforme.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 182 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","70","two big jumps available"
